"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""Year >= 1900"",""Earthquake Magnitude >= 1"",""Deaths >= 1""]"																																						
	1909	1	19	4	56	0			"TURKEY:  FOCA,MENEMEN,GUZELHISAR"	38.6	26.9		5.8	9	8	1						3																
	1909	1	23	2	48	29			"IRAN:  SILAKOR"	34.306	50.396	15	7.3	9	5500	4						2					5500	4						2				
	1909	4	14	19	53	42			"TAIWAN:  TAIPEI"	25	121.5		7.3		9	1			51	2		1	122	3			9	1			51	2		1	122	3		
	1909	4	23	17	39	36			"PORTUGAL:  RIBATEJO, BENAVENTE"	38.9	-8.8		6.6	10	30	1						2		2		2	30	1						2		2		
	1909	5	11	15	54	24			"CHINA:  YUNNAN PROVINCE"	24.4	103		6.5	8	21	1						2		3			21	1						2		3		
	1909	6	11	21	6				"FRANCE:  VERNEGUES,CHARLEVAL,LA ROQUE D'ANTHERON"	43.7	5.4		6.2	10	40	1						2																
	1909	8	14	6	30		1384		"JAPAN:  OOMI"	35.4	136.3	33	6.9		41	1						3	976	3			41	1						3	976	3		
	1909	10	20	23	41	0			"PAKISTAN"	30	68	60	7.2		231	3						2																
	1909	11	21	7	36				"TAIWAN"	24.4	121.8		7.3		4	1						1	14	1			4	1						1	14	1		
	1910	4	12	0	22	13			"TAIWAN"	25.5	122.5	200	7.8		60	2						1	13	1			60	2						1	13	1		
	1910	6	24	13	27				"ALGERIA:  MASQUERAY,  KABYLIA"	36	4	33	6.4	11	12	1						1					12	1						1				
	1911	1	3	23	25	45			"KAZAKHSTAN:  ALMA-ATA, TURKESTAN"	43.5	77.5	25	7.7	10	450	3						3					450	3						3				
	1911	2	18	18	41	14			"TAJIKISTAN:  USOY, BARCHIDIV, POSOR, NISUR"	38.2	72.8	26	7.4		90	2						3		3		3	90	2						3		3		
	1911	4	18	18	14	27.5			"IRAN:  RAVAR"	30.46	56.305	15	6.5	8	700	3						3		3			700	3						3		3		
	1911	6	7	11	2	42			"MEXICO:  MICHOACAN"	17.5	-102.5	11	7.9		45	1			22	1							45	1			22	1						
	1911	6	15	14	26		1396		"JAPAN:  RYUKYU ISLANDS"	28	130	160	8		12	1						3	422	3			12	1						3	422	3		
	1912	8	9	1	28	51.4	2325		"TURKEY:  MARMARA SEA"	40.444	26.784	15	7.2		2800	4			7000	4		4	24700	4	15400	4	2800	4			7000	4		4	24700	4	15400	4
