"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""Year >= 1900"",""Earthquake Magnitude >= 1"",""Deaths >= 1""]"																																						
	1933	8	25	7	50	30			"CHINA:  SICHUAN PROVINCE"	31.9	103.4		7.5	10	9300	4						4		4			9300	4						4		4		
	1933	9	20						"CHINA:  SICHUAN PROVINCE"	29.5	102.5		5	6	200	3						1	30	1			200	3						1	30	1		
	1933	11	28	11	9	0			"IRAN:  BAHABAD,ALIABAD,RAHIMABAD,KHAIRABAD"	32.1	56	27	6.3		4	1						3																
	1934	1	12	13	31	52			"CHINA:  YUNNAN PROVINCE"	23.7	102.7		6	8	1	1			14	1		2		3			1	1			14	1		2		3		
	1934	1	15	8	43	25	1668		"NEPAL; INDIA:  BIHAR"	26.773	86.762	35	8	11	10600	4						4		4		4	10600	4						4		4		
	1934	3	12	15	5	40			"UTAH"	41.7	-112.8		6.6	8	2	1						2				1	2	1						2				1
	1934	8	11	8	18	21			"TAIWAN:  YILAN"	24.8	121.5		6.5		3	1						1	6	1			3	1						1	6	1		
	1935	1	4	14	41	30.8	5820		"TURKEY"	40.62	27.451	7	6.4	10	5	1			30	1		3		4			5	1			30	1		3		4		
	1935	3	5	10	26	39.5			"IRAN:  ALBORZ"	35.982	52.953	15	6	7	60	2						2					60	2						2				
	1935	4	11	23	14	48.8			"IRAN:  KEVSUT, ALBORZ, SARI"	36.586	53.65	15	6.4	9	690	3						3					690	3						3				
	1935	4	20	22	1	54			"TAIWAN:  MIALOI"	24.3	120.8		6	8	3276	4			12053	4		4	17907	4			3276	4			12053	4		4	17907	4		
	1935	4	28						"CHINA:  SICHUAN PROVINCE"	29.4	102.3		6	8	2	1						1		1			2	1						1		1		
	1935	5	1	10	24	0			"TURKEY:  KIGI"	39.3	40.6		6.1		540	3																						
	1935	5	30	21	32	46	1679		"PAKISTAN:  QUETTA"	29.5	66.8	33	7.5	10	60000	4					25	4		4		4	60000	4					25	4		4		
	1935	7	11	18	35	0			"JAPAN:  HONSHU"	35	138	10	6.3		9	1						1																
	1935	7	16	16	18	58			"TAIWAN:  XIINZHU"	24.6	120.8	30	6.5		2746	4			6004	4		4	30000	4			2746	4			6004	4		4	30000	4		
	1935	8	7	9	2	12			"COLOMBIA:  FUNES"	1.11	-77.34	10	6.1	8	8	1						2				2	8	1						2				2
	1935	10	19	4	48	2			"MONTANA:  HELENA"	46.6	-112		6.2	8	2	1				3	19	3	300	3			2	1				3	19	3	300	3		
	1935	10	31	18	37	47			"MONTANA:  HELENA"	46.6	-112		6	8	2	1					6	3					2	1					6	3				
	1935	12	18	7	10	36	3580		"CHINA:  SICHUAN PROVINCE"	28.7	103.6		6	8	100	2						2		3			100	2						2		3		
	1936	1	9	9	23	0			"COLOMBIA"	1.1	-77.6	10	5.6	7	250	3						2		1			250	3						2		1		
	1936	6	30	19	26	6.8			"IRAN:  ABIZ, SARBISHEH"	33.734	60.405	15	6.1	7	12	1						2					12	1						2				
	1936	7	13	11	12	15	1691		"CHILE:  TALTAL"	-24.5	-70	60	7.3		1	1			40	1		2		3			1	1			40	1		2		3		
	1936	8	1	6	24	30			"CHINA:  GANSU PROVINCE"	34.2	105.7		6	8	115	3			31	1		3	4459	4			115	1			31	1		3	4459	4		
	1936	8	17						"CHINA:  YUNNAN PROVINCE"	26.6	103		5.5	7	30	1						2		3			30	1						2		3		
	1936	8	22	6	51	35			"TAIWAN"	22.3	120.8		7.2		10	1			10	1		1	15	1							10	1		1	15	1		
	1936	8	23	21	12	13	1692		"INDONESIA:  BANDA ACEH,LHOK SUKON,LHOKSEMAWE"	6.1	94.7		7.3	8	9	1			20	1		2					9	1			20	1		2				
	1937	7	26	3	47	9.4			"MEXICO:  CENTRAL, PUEBLA:  ESPERANZA, VERACRUZ"	18.523	-95.878	35	7.2		34	1						2					34	1						2				
	1937	7	31	20	35	48			"CHINA:  SHANDONG PROVINCE"	35.4	115.1		7	9	390	3				3		4		4			390	3				3		4		4		
	1937	8	20	11	59	16	1699		"PHILIPPINES:  LUZON"	14.5	121.5	60	7.5	8	1	1			200	3		3		3		3	1	1			200	3		3		3		
	1937	9	27	8	55	10			"INDONESIA:  JAVA:  JOGYAKARTA:  KLUMPIT,PRAMBANAN"	-9.4	110.2	70	7.2	9	1	1						3	326	3	2200	4	1	1						3	326	3	2200	4
	1937	12	23	13	18	3.5			"MEXICO:  GUERRERO:  OMETEPEC"	16.656	-98.338		7.4		4	1						2		1			4	1						2		1		
	1937	12	24	6	20	43.9			"PERU:  HUANCABAMBA,OXAPAMPA,EL PROGRESO,SAN DAVID"	-10.637	-76.562	10	6.5	10	15	1				1		2	92	2			15			1				2	92	2		
	1938	2	5	2	23	34			"COLOMBIA: EJE CAFETERO"	4.68	-75.69	150	7	8	6	1				3		3		3		3	6	1				3		3		3		3
	1938	4	19	10	59	0			"TURKEY:  KIRSEHIR"	39.4	33.8	33	6.7	10	224	3						3																
	1938	11	5	8	43	21	1716		"JAPAN:  NEAR E COAST HONSHU"	37.1	141.7	30	7.7		1	1						1	20	1			1	1						1	20	1		
	1939	1	25	3	32	14	1729		"CHILE:  CHILLAN"	-36.25	-72.25	60	8.3	10	30000	4					920	4		4			30000	4					920	4		4		
	1939	1	30	2	18	30	1730		"PAPUA NEW GUINEA:  BOUGAINVILLE ISLAND"	-7.08	155.386	35	7.7		5	1				3		2		3			5	1				3		2		3		
	1939	5	1	5	58		1734		"JAPAN:  HONSHU:  NW"	40.1	139.5		7		27	1			52	2		2	479	3			27	1			52	2		2	479	3		
	1939	6	22	19	19	33	1736		"GHANA:  ACCRA"	5.568	-0.625	13	6.4	9	22	1			130	3		3	1500	4			22	1			130	3		3	1500	4		
	1939	9	19						"CHINA:  YUNNAN PROVINCE"	24.4	102.5		5.5	7	2	1						1		1			2	1						1		1		
	1939	9	21	0	37	0			"TURKEY"	39.1	26.8		6.5	9	41	1						2																
	1939	11	21	8	43	0			"TURKEY:  ERZINCAN"	39.7	40.4	80	5.9	7	13	1						2																
	1939	12	26	23	57	22.6	2301		"TURKEY:  ERZINCAN"	39.77	39.533	35	7.7	12	32700	4			100000	4	20	3	120000	4			32700	4			100000	4	20	3	120000	4		
	1940	4	6	13	43	2			"CHINA:  YUNNAN PROVINCE"	23.9	102.3		6	8	181	3			475	3		3	11556	4			181	3			475	3		3	11556	4		
	1940	5	7	22	23	0			"TURKEY-CIS"	41.7	43.8	19	6		16	1						2																
	1940	5	19	4	36	40.9			"CALIFORNIA; MEXICO"	32.733	-115.5	16	7.2	10	9	1					33	4					9	1					33	4				
	1940	5	24	16	33	57	1739		"PERU"	-10.5	-77	60	8.2	10	179	3			3500	4		3		3			179	3			3500	4		3		3		
	1940	6	19						"CHINA:  YUNNAN PROVINCE"	24.4	102.5		5.5	7	2	1			20	1		2		3			2	1			20	1		2		3		
	1940	11	10	1	39	0			"ROMANIA"	45.8	26.8	150	7.3	10	1000	3					10	3																
	1941	1	11	8	32	59			"YEMEN:  RAZIH"	16.4	43.5		5.9	8	1200	4			200	3			700	3	1000	3	1200	4			200	3			700	3	1000	3
	1941	1	13	16	27	44.7	1744		"PAPUA NEW GUINEA:  BISMARCK SEA"	-4.175	152.071	15	7.4		4	1						2	1	1		3	4	1						2	1	1		3
	1941	2	16	16	38	0			"IRAN:  MOHAMMADABAD"	33.527	58.776	15	6.3	8	730	3						3					730	3						3				
	1941	5	5	15	18	27			"CHINA:  HEILONGJIANG PROVINCE"	47	127.2		6	8	132	3			203	3		3	6321	4			132	3			203	3		3	6321	4		
	1941	9	10	21	53	0			"TURKEY:  VAN, ERCIS"	39.5	43.3	28	6	8	430	3																						
	1941	10	8	15	24	20			"CHINA:  SICHUAN PROVINCE"	31.7	102.3		6	8	15	1			10	1		1	70	2			15	1			10	1		1	70	2		
	1941	11	12	10	4	0			"TURKEY:  ERZINCAN"	39.7	39.4	70	5.9	8	15	1																						
	1941	12	5	20	46	58	1748		"COSTA RICA-PANAMA"	8.7	-83.2		7.6	4	6	1				3		2		3			6	1				3		2		3		
	1941	12	16	19	19	42			"TAIWAN"	23.3	120.3		7.1		319	3						2	1768	4			319	3						2	1768	4		
	1942	2	1	17	30	47			"CHINA:  YUNNAN PROVINCE:  SIMAO"	23.1	100.3		6.8	8	90	2				4		4		4			90	2				4		4		4		
	1942	5	14	2	13	0			"ECUADOR:  GUAYAQUIL"	-0.75	-81.5	30	7.9	9	200	3					2.5	2		3			200	3					2.5	2		3		
	1942	8	24	22	50	27	1751		"PERU:  ICA, NAZCA"	-15	-76	60	8.2	9	30	1			25	1		3		3			30	1			25	1		3		3		
	1942	8	27	6	14	11			"ALBANIA:  PESHKOPIA, MAGELLARE"	41.7	20.4	33	6	10	43	1			110	3		3		3			43	1			110	3		3		3		
	1942	11	15	17	1	0			"TURKEY:  BALIKESIR,BIGADIC"	39.2	28.2		6.1	8	16	1						2																
	1942	12	20	14	3	0			"TURKEY:  NIKSAR, ERBAA"	40.9	36.5		7.3	10	1000	3						4																
	1943	1	20	15	32	0			"TURKEY:  HENDEK"	40.8	30.5		6.6		285	3																						
	1943	1	31	5	1				"PERU:  YANACOA, PAMPAMARCA"	-14.2	-71.5		5		75	2			200	3		1					75	2			200	3						
	1943	2	22	9	20	48.6			"MEXICO:  GUERRERO: PARICUTIN VOLCANO FORMS"	17.397	-101.37	20	7.4	7	5	1						3					5	1						3				
	1943	4	6	16	7	15	1752		"CHILE:  ILLAPEL"	-30.75	-72	35	8.2		11	1						1		1			11	1						1		1		
	1943	6	20	15	33	0			"TURKEY:  HENDEK, ADAPAZARI"	40.6	30.5	15	6.2	10	285	3						3																
	1943	7	23	14	53	9			"INDONESIA:   JAVA:  JOGYAKARTA"	-9.5	110	90	8.1	8	213	3			2096	4		3			2800	4	213	3			2096	4		3			2800	4
	1943	9	10	8	37				"JAPAN:  HONSHU:  S"	35.3	133.9	10	7.4		1400	4						4	7739	4			1400	4						4	7739	4		
	1943	11	26	22	20	36			"TURKEY:  LADIK, SAMSUN, HAVZA"	41	33.7	33	7.6	11	4020	4			5000	4		4	40000	4			4020	4			5000	4		4	40000	4		
	1944	1	15	23	49	0			"ARGENTINA:  SAN JUAN PROVINCE"	-31.5	-68.5	50	7.8		8000	4					100	4																
	1944	2	1	3	23	0			"TURKEY"	41.4	32.7	33	7.4	10	2381	4						3																
	1944	3	9	22	12	58			"CHINA:  XINJIANG PROVINCE"	44	84		7.2		3	1						1		2			3	1						1		2		
	1944	4	5						"IRAN:  GORGAN"	36.8	54.5	7	5.2	8	20	1						2					20	1						2				
	1944	6	25	4	16	0			"TURKEY:  USAK"	38.9	29.3	33	6	8	21	1																						
	1944	10	6	2	34	47.6	5818		"TURKEY:  AYVALIK"	39.509	26.587		6.7	9	30	1						4	5500	4			30	1						4	5500	4		
	1944	12	7	4	35		1756		"JAPAN:  OFF SOUTHEAST COAST KII PENINSULA"	34	137.1	30	8.1		1223	4			2135	4		3	26146	4			1223	4			2135	4		3	29205	4	46950	4
	1945	1	12	18	38		1759		"JAPAN:  HONSHU:  S"	34.7	137.2		7.1		2306	4			896	3		4	7221	4			2306	4			896	3		4	7221	4		
	1945	3	18	8	1	26			"UGANDA: MASAKA"	-0.214	31.289		6.4	9	5	1			8	1		2		1			5	1			8	1		2		1		
	1945	3	20	7	59	0			"TURKEY:  AELANA, CEYHAN, ADANA"	37.4	35.8	60	6	7	300	3																						
	1945	9	23	15	34	21			"CHINA:  HEBEI PROVINCE"	39.5	119		6.3	8	17	1			30	1		1		2			17	1			30	1		1		2		
	1945	11	27	21	56	50	1761		"PAKISTAN:  MAKRAN COAST"	24.5	63	15	8	10	300	3					25	4					300	3					25	4				
	1946	2	12	2	43	24			"ALGERIA:  HODNA MOUNTAINS"	35.75	5		5.6	9	264	3						3					264	3						3				
	1946	2	21	15	43	0			"TURKEY:  IIGIN, KONYA"	38.2	31.8	60	5.6	8	12	1																						
	1946	5	31	3	12	0			"TURKEY:  USTUKRAN"	39.3	41.2		5.9	8	840	3																						
	1946	8	2	19	18	48	1764		"CHILE:  NORTHERN"	-26.5	-70.5	60	7.9		2	1						3					2	1						3				
	1946	11	4	21	47	0			"TURKMENISTAN"	39.3	55.4	26	7.5		400	3						3					400	3						3				
	1946	11	10	17	42	0			"PERU: JOCAIBAMBA,CERRO ANGASCHAJ,CERRO SILLAPATA"	-8.5	-77.5	12	7.3	11	800	3						3																
	1946	12	4	22	47	39			"TAIWAN"	23.1	120.3		6.8	9	58	2			384	3		2	700	3			58	2			384	3		2	700	3		
	1946	12	20	19	19	5	1770		"JAPAN:  HONSHU:  S COAST"	33	135.6	20	8.1		1362	4						4	14259	4			1362	4						4	11661	4		
	1947	3	26	20	48	32			"CHINA:  YUNNAN PROVINCE"	25	102		5.5	7	1	1				1		2		3			1	1				1		2		3		
	1947	6	7	5	5	0			"CHINA:  SICHUAN PROVINCE"	26.7	102.9		5.5	7	3	1						1		2			3	1						1		2		
	1947	7	14	6	59	28			"COLOMBIA:  PASTO"	1.3	-77.23	10	6	8	2	1				1		2		3			2	1				1		2		3		
	1947	8	6	9	36	40			"ALGERIA"	37	8		5.3	9	3	1				3		2					3	1				3		2				
	1947	9	23	12	28	16			"IRAN:  DUSTABAD"	33.604	58.642	15	6.9	8	500	3						3					500	3						3				
	1947	10	6	19	55	37.5	1775		"GREECE:  S:  PYLIA (MESSINIA)"	36.808	21.916	28	7.3	9	3	1			20	1		4	7000	4			3	1			20	1		4	7000	4		
	1947	11	1	14	58	0			"PERU:  SATIPO,ANDAMARCA,ACOBAMBA,LA MERCED,VICTOC"	-10.5	-75	100	7.3	10	233	3						3																
	1948	1	24	17	46	43.7	1777		"PHILIPPINES:  PANAY, ILOILO CITY, ANTIQUE"	10.714	122.235	15	7.8	9	72	2					3.5	2		3		3	74	2					3.5	2		3		3
	1948	4	22	10	42	47.1	1782		"GREECE:  VASILIKI (LEUKAS)"	38.532	20.425	15	6.5	10	2	1			45	1		3	244	3	2022	4	2	1			45	1			244	3	2022	4
	1948	5	11	8	56	0			"PERU:  AREQUIPA,MOQUEGUA,TACNA,TORATA,QUELLAVECO"	-17.4	-71	60	7.1	10	1	1						2																
	1948	5	25	7	11	21			"CHINA:  SICHUAN PROVINCE"	29.5	100.5	18	7.3	10	800	3			200	3		3	600	3			800	3			200	3		3	600	3		
	1948	5	28	5	37	0			"PERU:  CANETE"	-13.1	-76.2	55	6.8	7	4	1						2																
	1948	6	27	0	8	23			"CHINA:  YUNNAN PROVINCE"	26.4	99.7		6.8	8	110	3			100	2		2	600	3			110	3			100	2		2	600	3		
	1948	6	28	7	13	0			"JAPAN:  FUKUI"	36.5	136	20	7.3		5131	4			11000	4	1000	4	63000	4	18543	4	5131	4			11000	4	1000	4	63000	4	18543	4
	1948	6	30	12	21	0			"GREECE:  TSOUKALADES-KALAMITSI (LEUKAS)"	38.5	20.5	33	6.4	11	6	1						2																
	1948	10	5	20	12	9.3			"TURKMENISTAN:  ASHKHABAD"	38.084	58.364	18	7.2	10	110000	4				4	25	4		4			110000	4				4	25	4		4		
	1948	10	8	19	1	57			"CHINA:  GUIZHOU PROVINCE"	27.4	104		5.8	8	3	1			75	2		2		3		3	3	1			75	2		2		3		
	1948	12	4	0	22	48	1785		"MEXICO:  MARIA MADRE ISLAND"	22	-106		6.9		4	1			21	1		3					4	1			21	1		3				
	1949	2	23	16	8	11			"CHINA:  XINJIANG PROVINCE"	42	84		7.3	9	21	1			17	1		3	1010	4			21	1			17	1		3	1010	4		
	1949	4	13	19	55	42	1790		"WASHINGTON"	47.167	-122.617		7	8	8	1					25	4					8	1					25	4				
	1949	4	20	3	29	7	1792		"CHILE:  ANGOL, TRAIGUEN"	-38	-73.5	70	7.3		57	2						2					57	2						2				
	1949	7	10	3	53	38			"TAJIKISTAN"	39.2	70.8	16	7.4	10	3500	4						4		4			3500	4						4		4		
	1949	7	23	15	3	35.5	1787		"GREECE:  CHIOS, OENOUSSAE; TURKEY: KARABURUN"	38.718	26.482	15	6.5	9	7	1			435	3		3	534	3	5501	4	7	1			435	3		4	534	3	5501	4
	1949	8	5	19	8	51.7			"ECUADOR: TUNGURAHUA"	-1.237	-78.305	60	6.5		6000	4					7.5	3		4		4	6000						7.5	3		4		4
	1949	8	17	18	43	0			"TURKEY: KARLIOVA"	39	40.5		6.8	10	320	3						3																
	1949	12	17	6	53	30	5202		"CHILE:  TIERRA DEL FUEGO"	-54	-71	33	7.8		1	1						1					1	1						1				
	1949	12	17	15	7	55	1801		"CHILE:  TIERRA DEL FUEGO"	-54	-71	33	7.8		3	1						1					3	1						1				
	1950	1	19	17	27	20.9			"IRAN: BUSHIRE"	27.255	53.029	15	5.7	7	30	1						3					30	1						3				
	1950	5	21	18	37	0			"PERU:  CUSCO"	-13.5	-72		6		83	2						3																
	1950	6	19	12	36	54			"INDONESIA:  JAVA:  GRESIK"	-6	113		6.5	7	16	1			50	1		1	50	1			16	1			50	1		1	50	1		
	1950	7	9	2	35	0			"COLOMBIA:  ANBOLEDAS"	7.79	-72.61	15	6.1	9	300	3				3	20	3		3		3	300	3				4	20	3		3		3
	1950	8	3	22	18	22	1805		"VENEZUELA: EL TOCUYO"	9.71	-69.819	15	6.4		100	2						1		1		1	100	2						1		1		1
	1950	8	15	14	9	30	1806		"INDIA-CHINA"	28.5	96.5	33	8.6	11	1530	4					20	3					1530	4					20	3				
	1950	12	9	21	38	48			"CHILE-ARGENTINA"	-23.5	-67.5	100	8	7	1	1				2							1	1				2						
	1950	12	10	2	50	42	1812		"PERU:  ICA,CHIMBOTE,HUARAZ,CAJAMARCA,CUZCO,MOQUEGUA"	-14.25	-75.75	80	7		4	1			12	1		2		2			4	1			12	1		2		2		
	1951	5	6	23	8	0			"EL SALVADOR:  JUCUAPA"	13	-87.8	100	6.5		1100	4					23	3					1100	4					23	3				
	1951	7	9	0	3	53.5			"MEXICO:  OAXACA:  MIAHIATLAN"	15.99	-96.605	25	6		1	1						2					1	1						2				
	1951	8	13	18	33	0			"TURKEY:  KURSUNLU"	40.8	33.4		6.7	9	50	1						3																
	1951	10	22	5	43	1	3310		"TAIWAN"	23.8	121.7	21	7.3		68	2			586	3		3	2382	4			68	2			586	3		3	2382	4		
	1951	11	24	18	47	13			"TAIWAN"	22.9	121.5		7.5		17	1			250	3		2					17	1			250	3		2				
	1952	1	3	6	3	0			"TURKEY:  PASINLER (HASANKALE), ERZURUM"	39.9	41.7		6	8	103	3						2																
	1952	3	4	1	22	41	1817		"JAPAN:  HOKKAIDO"	42.15	143.85	45	8.1	9	33	1				3		3		3			33	1			572	3		3	2422	4		
	1952	7	21	11	52	14			"CALIFORNIA:  KERN COUNTY"	35	-119.017	16	7.7	11	12	1				3	60	4		3		2	12	1				3	60	4		3		2
	1952	8	22	22	41	24			"CALIFORNIA:  KERN COUNTY"	35.333	-118.917	16	5.8	8	2	1				2	10	3	90	2			2	1					10	3	90	2		
	1952	10	22	17		0			"TURKEY:  CEYHAN,MISIS"	36.5	35.5		5	7	20	1						3																
	1953	1	15	13	15	15.6			"IRAN:  LAR"	27.761	54.751	15	5.5	7	13	1						2					13	1						2				
	1953	1	25	19	47	0			"HAITI"	18.4	-73.4		5.7		2	1						2																
	1953	2	12	8	15	34.9			"IRAN:  TORUD"	35.385	54.979	15	6.6	8	970	3			140	3			1800	4			970	3			140	3		3	1800	4		
	1953	3	18	19	6	11			"TURKEY:  YENICE, ONON"	40	27.5		7.5		1070	4					3.57	2					1070	4					3.57	2				
	1953	5	6	17	16	43	1836		"CHILE:  CHILLAN, CONCEPCION"	-36.5	-72.5	60	7.6	10	9	1			26	1	500	4					9	1			26	1	500	4				
	1953	8	12	9	23	52	3398		"GREECE:  LIXOURI-ARGOSTOLI (KEPHALLENIA)"	38.3	20.8		7.2	10	476	3			2412	4	100	4	27773	4			476	3			2412	4	100	4	27773	4		
	1953	9	10	4	6	4.1	3396		"CYPRUS:  PAPHOS"	34.741	32.335	20	6.3	10	40	1			100	1		2	500	3			40	1			100	2		2	500	3		
	1953	9	14	0	26	36	1840		"FIJI ISLANDS"	-18.3	178.2	33	6.4		2	1						2		2			7	1			12	1		2		2		1
	1953	11	25	17	48		1841		"JAPAN:  KASHIMA"	34	141.7	60	7.4		1	1						1					1	1						1				
	1953	12	7	2	5	0			"CHILE:  NORTHERN"	-22.1	-68.7	128	7.4		3	1					7.31	3																
	1953	12	12	17	31	25	1842		"PERU-ECUADOR"	-3.4	-80.6	30	7.4	9	6	1			20	1		2	200	3			6	1			20	1		2	200	3		
	1954	2	5	15	18	4.9			"MEXICO:  CHIAPAS"	17.283	-92.382	85	6.1		6	1					17	3				4	6	1					17	3				4
	1954	4	20			0			"GREECE"	39.8	22.1		7		25	1																						
	1954	4	30	13	2	0			"GREECE:  SOPHADES (KARDITSA)"	39.3	22.2		7	10	31	1					3.15	2																
	1954	7	2	2	45	0			"PHILIPPINES:  LUZON:  SORSOGON, BACON, LEGASPI"	13	123.9		6.8	9	13	1			101	3		2					13	1			101	3						
	1954	8	20	15	30	0			"IRAN:  TONBAK,KANGAN,SABAKHI,AKHTAR"	27.5	52		5		1	1						3					1	1										
	1954	9	9	1	4	43.4	3394		"ALGERIA:  ORLEANSVILLE"	36.274	1.594	15	6.7	11	1243	4			5000	4	6	3	20000	4			1243	4			5000	4	6	3	20000	4		
	1955	3	31	18	18	0			"PHILIPPINES:  MINDANAO:  LANAO,OZAMIZ,COTABATO"	8.1	123.2	96	7.6	8	400	3					5	2																
	1955	4	14	1	29	2			"CHINA:  SICHUAN PROVINCE"	30	101.8		7.5	9	39	1			113	3		2	500	3			39	1			113	3		2	500	3		
	1955	4	19	16	47	19	3393		"GREECE:  DRAKIA-AGRIA (MAGNESIA)"	39.4	23.1	33	6.2	10	8	1			149	3		4	459	3	8352	4	8	1			149	3		4	459	3	8352	4
	1955	4	21	7	18	0			"GREECE:  AEGEAN SEA"	39.5	23		6	10	7	1						3																
	1955	7	16	7	7	0			"TURKEY:  SOKE, AYDIN"	37.5	27		6.8	9	4	1						3																
	1955	9	1	17	33	0			"COSTA RICA"	10	-84.5		5.8		10	1						2																
	1955	9	12	6	9	20			"EGYPT:  NILE DELTA"	32.2	29.6		6.3		22	1			12	1		3					22	1			12	1		3				
	1956	1	12	5	46	0			"HUNGARY"	47.5	19.3		5.8		2	1						3																
	1956	2	20	20	31	0			"TURKEY:  ESKISEHIR"	40	30.5		5.8	8	4	1						2																
	1956	3	16	19	32	0			"LEBANON:  LITANI"	35.5	35.5		5.8		148	3						3																
	1956	6	9			0			"AFGHANISTAN:  KABUL"	35.1	67.5	60	7.6		100	2																						
	1956	7	9	3	11	45.1	1859		"GREECE:  DODECANESE"	36.664	25.957	20	7.7	9	53	2						3					56	2						3				
	1956	7	16	15	7	0			"MYANMAR (BURMA)"	22.2	95.7	39	7		38	1						2																
	1956	7	21	15	32	30.1			"INDIA:  ANJAR, BHUJ, GANDHIDHAM, KANDLA"	23.278	70.107	15	6	9	156	3						3					156	3						3				
	1956	10	31	14	3	47.2			"IRAN:  BASTAK"	27.407	54.462	15	6.4	8	410	3					2.8	2					410	3					2.8	2				
	1957	2	20	4	41	1			"TUNISIA:  SIDI ABID,SIDI TOUIL (LA MEDJA),CAILLOUX"	36.2	8.9		5.6		13	1			96	2		2					13	1			96	2		2				
	1957	2	23	20	26	14			"TAIWAN:  HUALIEN, TAIPEI"	23.9	121.6	69	7.2		11	1				3		2					11	1				3		2				
	1957	3	8	12	21	14			"GREECE:  STEPHANOVIKION-VELESTNON (MAGNESIA)"	39.4	22.8		7	10	2	1				3		2					2	1				3		2				
	1957	4	25	2	25	41			"TURKEY:  FETHIYE (LYCIA, ASIA MINOR)"	36.4	28.55	41	7.1	10	18	1			92	1		4	3000	4	5000	4	18	1			92	1		4	3000	4	5000	4
	1957	5	26	6	33	0			"TURKEY:  ABANT"	40.7	30.9		7.1	9	500	3						3																
	1957	7	2	0	42	26.4			"IRAN:  HAZANDERAN, ABEGARM"	36.277	52.778	15	6.6	9	1100	4				3		3					1100	4				3		3				
	1957	7	28	8	40	1	1870		"MEXICO:  ACAPULCO,MEXICO CITY"	16.5	-99.1	25	7.9	7	65	2				3	25	4		3			65	2				3	25	4		3		
	1957	12	4	3	37	45			"MONGOLIA"	45.5	99.5	33	8.1	11	30	1						2					30	1						2				
	1957	12	13	1	45	4.8			"IRAN:  FARSINAJ"	34.388	47.748	15	6.5	8	1200	4				3		3					1200	4				3		3				
	1958	1	15	19	14	0			"PERU: AREQUIPA"	-16.5	-72	60	7.3	9	28	1						2																
	1958	1	19	14	7	27	1877		"COLOMBIA-ECUADOR"	1.5	-79.5	60	7.6	9	111	3			46	1		2		2			115	3			46	1		2		2		
	1958	8	16	19	13	48.3			"IRAN:  FIRUZABAD"	34.29	47.867	15	6.7	7	132	3			948	3		3	2500	4			132	3			948	3		3	2500	4		
	1958	9	4	21	51	16.9			"CHILE-ARGENTINA"	-33.785	-70.112		6.8		7	1						3																
	1958	9	21	16	18	0			"IRAN"	36	49		5.2	6	16	1						3					16	1						3				
	1958	10	20	1	12	37			"INDONESIA:  JAVA:  MALANG"	-9.5	112.5	100	6.7	8	8	1			1856	4		2	95	2	206	3	8	1			1856	4		2	95	2	206	3
	1959	4	26	20	40	38			"TAIWAN:  TAIPEI"	24.78	122.7	150	7.5		2	1						1					2	1						1				
	1959	5	4	7	15	42	1890		"RUSSIA:  NEAR EAST COAST OF KAMCHATKA"	52.5	159.5	60	8.2	10	1	1			13	1		2		2			1	1			13	1		2		2		
	1959	6	14	0	12	6.5			"BOLIVIA-NORTHERN CHILE"	-20.369	-68	112	7.5		1	1						1					1	1						1				
	1959	8	15	8	57	3			"TAIWAN"	22.18	121.13	60	7		16	1			63	2		3		3			16	1			63	2		3		3		
	1959	8	18	6	37	13.5	2371		"MONTANA:  HEBGEN LAKE"	44.712	-111.215	5	7.7	10	28	1					11	3				2	28	1					11	3				2
	1959	8	26	8	25	31			"MEXICO:  GULF OF CAMPECHE"	18.3	-94.4		6.9		25	1			200	3		3		3			25	1			200	3		3		3		
	1959	9	1	11	37	0			"ALBANIA"	40.9	19.8	11	6.1	10	2	1						3																
	1959	10	25	15	57	0			"TURKEY:  NINIA"	39.1	41.6		6.2		18	1						2																
	1960	1	13	15	40	34	1896		"PERU:  AREQUIPA,CHUQUIBAMBA,CARAVELI,COTAHUASI"	-15.75	-72.75	160	7.8	10	63	2			200	3		3		3			63	2			200	3		3		3		
	1960	1	15	9	30	0			"PERU:  LIMA,NAZCA,ICA,HUANCAVELIC,PALPA,HUAITARA"	-15	-75	150	7		63	2						1																
	1960	2	21	8	13	31			"ALGERIA:  MELOUZA"	36	4.1	33	5.6		47	1			88	2		2					47	1			88	2		2				
	1960	2	29	23	40	14	1897		"MOROCCO:  AGADIR"	30.45	-9.62	33	5.9	10	13100	4			25000	4	120	4		3			13100	4			25000	4	120	4		3		
	1960	4	24	12	14	31.7			"IRAN:  LAR"	27.814	54.497	15	5.9	7	420	3			3000	4	20	3					420	3			3000	4	20	3				
